"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Swag Labs - Login - Positive: As a visual_user, I want to login succesfully","","0","0","8","0","0"
"","Swag Lab - Cart Page: As a standard_user , I want to go to the payment checkout page","","0","0","24","0","0"
"","Swag Lab - Home Page: As a standard_user , I want to go add product","","0","0","16","0","0"
"","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","0","0","8","0","0"
"","Swag Labs - Login - Positive: As a standard_user, I want to login succesfully","","0","0","8","0","0"
